review,polarity,translated
Une intrigue coup de poing dont le point culminant n'est autre que le final dévastateur.,0,একটি ষড়যন্ত্রযুক্ত মুষ্ট্যাঘাত যার culmating পয়েন্ট devastating চূড়ান্ত ছাড়া অন্য।
"Après un premier opus, auquel j'avais déjà accroché sans plus, le spectateur est gratifié d'un second volet très ridicule! On essaie des voies scientifiques absurdes et faussement intellectuelles, on passe en boucle des effets spéciaux vraiment pas terribles, et tout cela pour une incohérence et une incompréhension totale! Non, vraiment, si ""Cube"" m'avait au moins un peu pris, alors là c'est extrêmement mauvais.",1,"একটি প্রথম opus পরে, যা আমি ইতিমধ্যে ছাড়া hung ছিল, দর্শকের একটি খুব হাস্যকর উপাদান সঙ্গে gratified হয়!আমরা নির্বোধ বৈজ্ঞানিক সড়ক এবং মিথ্যাবাদী বুদ্ধিজীবী চেষ্টা করি, আমরা সত্যিই কোনও ভয়ানক বিশেষ প্রভাব লুপে যাই, এবং এটি একটি অসঙ্গতি এবং মোট ভুল বোঝাবুঝি জন্য!না, সত্যিই, যদি ""ঘনক্ষেত্র"" কমপক্ষে একটু নেওয়া হয় তবে এটি অত্যন্ত খারাপ।"
"Je pense que chez Allocine, vous n'osez même pas afficher la vraie moyenne de ce film. Sur 5 avis (Sans le mien), 2 fois une étoile et 3 fois une demi, vous trouvez 1,9 de moyenne! Un truc que même Max Pecas n'aurait pas osé faire... Là, vraiment, on touche le fond. Un film qu'il faut avoir vu pour se rendre compte de ce qu'est vraiment le néant!",1,"আমি অ্যালোকিনে মনে করি, আপনি এই চলচ্চিত্রের আসল গড় দেখানোর সাহসও করবেন না।5 টি পর্যালোচনা (খনি ছাড়া), 2 বার একটি তারকা এবং 3 বার অর্ধেক, আপনি 1.9 গড় খুঁজে পাবেন!একটি কৌতুক যে এমনকি ম্যাক্স Pecas এমনকি সাহস ছিল না ... সত্যিই, আমরা নীচে স্পর্শ।একটি সিনেমা যা সত্যিই বুঝতে পারছেন না কি আসলেই কোন ব্যাপার না!"
"Le message du film, ses significations sont très intéressants mais malheureusement, on s'ennuie pendant la majeure partie car il ne se passe souvent rien. Mérite tout de même une étoile.",1,"চলচ্চিত্রের বার্তাটি, এর অর্থগুলি খুবই আকর্ষণীয় কিন্তু দুর্ভাগ্যবশত, আমরা বেশিরভাগ অংশে বিরক্ত হয়েছি কারণ কিছুই ঘটেনি।একটি তারকা প্রাপ্য।"
Un pur chef d’œuvre made in france. A voir absolument.,0,ফ্রান্সে তৈরি একটি বিশুদ্ধ মাস্টারপিস।একটি অবশ্যই দেখুন.
"C'est plutôt surréaliste mais tout autant hyper réaliste ! Pas la peine de traverser la rue pour découvrir cet Univers du bout du monde où tout est possible et impossible, Yolande Moreau est exceptionnelle de sincérité et de compassion, Jean Dujardin, un paumé tellement vrai qu'il nous en fait peur ! Une histoire vraisemblable et originale en même temps, hélas d'actualité...",0,"এটি বর্বর কিন্তু শুধু যতটা বাস্তবসম্মত!পৃথিবীর শেষ থেকে এই মহাবিশ্বের আবিষ্কারের জন্য রাস্তায় পার হওয়ার দরকার নেই যেখানে সবকিছু সম্ভব এবং অসম্ভব, অসাধারণ আন্তরিকতা ও সমবেদনা, জিন্নুক ডুজার্ডিন, একটি তথাকথিত খেলা যা আমরা আমাদের ভীত করি!একই সময়ে একটি সম্ভাব্য এবং মূল ইতিহাস, অ্যালাস নিউজ ..."
"Pas terrible, mais un petit film mignonnet. Surtout pour le plaisir de voir les belles Julie Depardieu et Marion Cotillard.",1,"ভয়ানক না, কিন্তু একটি সামান্য চতুর সিনেমা।বিশেষ করে সুন্দর জুলি Depardieu এবং Marion Cotillard দেখার আনন্দের জন্য।"
"Des paysages somptueux, une musique fantastique, un Brad Pitt, et un Anthony Hopkins au sommet de leur art. Bref, mon film préféré.",0,"সমৃদ্ধ ল্যান্ডস্কেপ, চমত্কার সঙ্গীত, একটি ব্র্যাড পিট, এবং তাদের শিল্পের শীর্ষে একটি এন্থনি হপকিন্স।সংক্ষিপ্ত, আমার প্রিয় সিনেমা।"
"Et une pâle copie d'""American Pie"", une...sauf que celle-ci est à la sauce française qui raconte les dèboires sexuels de Seb, Manu et Franck. ""Sexy boys"", c'est un djeun's movie potache pas très mèchant mais sans gènie! Quoi que ? La masturbation à coup de spaghetti, il fallait trouver...On verra avec un certain plaisir cette comèdie, où souffle l'esprit de la dèconne! A noter le petit clin d'oeil cinèphilique de Sylvia Kristel, èternelle ""Emmanuelle"" qui joue le rôle d'une sexologue! Pour amateurs ou pour inconditionnels de la belle Virginie Lanouè qui mèriterait à l'avenir des rôles un peu plus consistants...",1,"এবং ""আমেরিকান পাই"" এর একটি ফ্যাকাশে কপি, একটি ... ব্যতীত যেটি ফ্রেঞ্চ সস এ রয়েছে যা সেভ, মনু এবং ফ্রাঙ্কের যৌন debroils বলে।""সেক্সি ছেলেদের"", এটি একটি ডিজাইনের মুভি পটাচে খুব খারাপ নয় কিন্তু জেনিয়া ছাড়া!যাই হোক?হস্তমৈথুন হঠাৎ স্প্যাগেটি, আমাদের খুঁজে বের করতে হয়েছিল ... আমরা এই কমেডি একটি নির্দিষ্ট পরিতোষ দেখব, যেখানে Dthonne এর আত্মা আঘাত করবে!সিলভিয়া ক্রিস্টেলের ছোট সিনফিলিক উইঙ্ককে লক্ষ্য করুন, 'ইম্মানুয়েল' যিনি যৌন বিশেষজ্ঞের ভূমিকা পালন করেন!অপেশাদার বা সুন্দর Lanouè ভার্জিনিয়া এর ভক্তদের জন্য যা একটি সামান্য আরো সামঞ্জস্যপূর্ণ ভূমিকা ভবিষ্যতে হতে হবে ..."
"""Arrête de pleurer Pénélope"" atteint un sommet de bêtise qui fait peur dans la mesure où on manque de respect et d'égard pour le spectateur ! Comment peut-on déverser autant de niaiseries, de clichés, voire de vulgarité sans se poser une seule question sur le niveau, la qualité de son travail avant de l'infliger à un public ? Ne pourrait-on pas encore espérer un minimum de talent, de sincérité, de loyauté dans la réalisation d'une comédie et élever un tant soi peu le niveau ? Au lieu de cela, quelle désolation que ce trio d'actrices insupportables au point de se ridiculiser sans honte ! Jusqu'où va-t-on descendre ainsi puisqu'on assiste même à la profanation d'une tombe par une des trois compères très écervelées ?!! Franchement, on se pince en se demandant si on se trouve bien dans une salle de cinéma ! Quelle triste programmation que nous offre le Gaumont au lieu de ces quelques petites curiosités citées et présentées dans le journal mensuel qui nous sont chaque semaine tout simplement refusées ! Quel sentiment de frustration et d'injustice que ce choix aussi médiocre !",1,"""কান্নাকাটি বন্ধ করুন বন্ধ করুন"" একটি মূঢ়তা শীর্ষ সম্মেলনে পৌঁছায় যা আমাদের সম্মান এবং দর্শকের অভাবের অভাব থাকে! কিভাবে আমরা অনেকগুলি বোকা, ক্লিচেস, এমনকি একটি প্রশ্নের উপর একটি প্রশ্ন জিজ্ঞাসা না করেও, তার কাজের গুণমানের আগে তাকে দর্শকদের কাছে দোষারোপ করার আগে? আমরা কি এখনও কমেডি অনুগত, আন্তরিকতা, আন্তরিকতা, আনুগত্যের জন্য আশা করি না এবং এত স্তর বাড়াতে পারি? এর পরিবর্তে, কি নিরর্থক অভিনেত্রীদের এই ত্রৈমাসিকে লজ্জা ছাড়াই উপহাসের বিন্দুতে! আমরা কতদূর নিচে যাব, তাই আমরা তিনটি উজ্জ্বল ACCOMPRISÉS এর মধ্যে একটি কবর এর কুসংস্কারে যোগদান? !! সত্যি বলতে কি, আমরা একটি সিনেমা থিয়েটারে থাকলে আমরা বিস্মিত হয়েছি! মাসিক সংবাদপত্রের তালিকাভুক্ত এবং উপস্থাপিত কয়েকটি ছোট কৌতূহলগুলির পরিবর্তে আমাদের গৌমন্টকে যে একটি দু: খিত প্রোগ্রাম দেয়, আমরা কেবল প্রত্যাখ্যান করছি! হতাশা ও অবিচারের অনুভূতি কি এমন একটি মধ্যবর্তী পছন্দ!"
"L'album est déjà un chef d'oeuvre mais y ajouter le film rend les morceaux plus poignants, même si on regrette que certains titres aient des versions différentes sur l'album et dans le film. PLV : Prince un artiste à part",0,"অ্যালবামটি ইতিমধ্যেই একটি চমৎকার রচনাটি কিন্তু চলচ্চিত্রটিকে আরও বেশি ঘৃণ্য করে তোলে, এমনকি যদি আমরা অনুশোচনা করি যে কিছু শিরোনাম অ্যালবামে এবং চলচ্চিত্রে বিভিন্ন সংস্করণ রয়েছে।পিএলভি: প্রিন্স একটি শিল্পী পৃথক্"
"Samuel Benchetrit a fait illusion, mais pas auprès de tout le monde, avec J'ai toujours rêvé d'être un gangster, surchargé de références cinéphiliques. Avec Chez Gino, il touche le fond, empêtré dans un hommage pathétique à la comédie italienne. Les ringards qu'il décrit dans son film ne sont même pas sauvés par une éventuelle empathie de sa part, ils sont lourds et lamentables, et laissés à leur triste sort par le cinéaste. Ne lui faisons pas l'honneur de citer Scola qui, dans Affreux, sales et méchants, laissait deviner chez ses personnages un semblant d'humanité. Et puis, c'était drôle, très. Pas Chez Gino, qui est sinistre, très. L'histoire du film dans le film ne fonctionne pas du tout, et on ne fait plus la différence entre la nullité voulue et involontaire de l'entreprise. Ne parlons pas de navet, ce serait faire injure à cette plante potagère qui, elle, a du goût. Le plus triste est de voir José Garcia, qui n'en peut mais, et surtout la racée Anna Mouglalis, embarqués dans cette pitoyable galère.",1,"স্যামুয়েল Benchetrit চিত্রিত করা হয়েছে, কিন্তু প্রত্যেকের সাথে নয়, আমি সবসময় একটি গ্যাংস্টার হওয়ার স্বপ্ন দেখেছি, সিনফিলিক রেফারেন্সগুলির সাথে ওভারলোড। Gino সঙ্গে, তিনি ইতালীয় কমেডি একটি দয়ালু শ্রদ্ধা মধ্যে entangled, নীচে স্পর্শ। তার চলচ্চিত্রে বর্ণিত নের্গগুলি এমনকি তার অংশে সম্ভাব্য সহানুভূতি দ্বারা সংরক্ষণ করা হয় না, তারা ভারী এবং দুঃখজনক, এবং চলচ্চিত্র নির্মাতা দ্বারা তাদের দু: খিত ভাগ্য ছেড়ে চলে যায়। তাকে স্কোলা উদ্ধৃত করার সম্মানের সম্মান করবেন না, ভয়ংকর, নোংরা এবং দুষ্ট, মানবতার অনুমানের একটি অনুরূপতা যাক। এবং তারপর এটা মজার ছিল, খুব। Gino এ না, যিনি sinister হয়, খুব। চলচ্চিত্রে চলচ্চিত্রের গল্পটি কাজ করে না, এবং আমরা আর কোম্পানির পছন্দসই এবং অনিচ্ছাকৃত নকলতার মধ্যে পার্থক্য করি না। আসুন নৌবাহিনীর কথা বলি না, এটি এই উদ্ভিজ্জ উদ্ভিদকে অপমানজনক হবে, যা একটি স্বাদ আছে। সবচেয়ে দুঃখজনক জোসে গার্সিয়া দেখতে, যারা, এবং বিশেষ করে রেসি আনা মোগ্লিস এই দরিদ্র গলিটিতে এমবেড করতে পারেন।"
"La première partie du film est convaincante et on s'attend à aller crescendo à la rencontre de cette grande dame. Pas de chance. La seconde moitié du film se perd, se dissout, se volatilise et devient même franchement ennuyeuse. Honnêtement, j'ai même réclamé la fin tant le film tombe dans un nombrilisme d'acteur exaspérant et une béatitude peu convaincante et grotesque du pseudo réalisateur. La fin vire à la caricature et oublie carrément l'hommage rendu à Barbara. Quant aux chansons, hélas, elles sont si peu mises en valeur qu'il vaut mieux rester chez soi et écouter un bon CD.",1,"চলচ্চিত্রের প্রথম অংশটি দৃঢ়প্রত্যয়ী এবং আমরা এই মহান ভদ্রমহিলা পূরণের জন্য ক্রেসেন্ডো যেতে আশা করি।কোন সম্ভাবনা নেই.ফিল্মের দ্বিতীয়ার্ধে হারিয়ে গেছে, দ্রবীভূত, ভল্টুলি এবং এমনকি সত্যিকারের বিরক্তিকর।সৎভাবে, আমি এমনকি শেষ পর্যন্ত চলচ্চিত্রটি অসাধারণ অভিনেতার একটি নাভি এবং ছদ্ম পরিচালক একটি অবিশ্বাস্য এবং গ্রটেস্ক সুখের একটি নাভিতে পড়েছি।শেষটি ক্যারেকচারে পরিণত হয় এবং বারবারায় শ্রদ্ধা প্রদর্শন করে।গানের জন্য, হায়াস, তারা এতটাই সামান্য বৃদ্ধি পায় যে বাড়িতে থাকতে হবে এবং একটি ভাল সিডি শুনতে ভালো।"
Du réchauffé. Ce regarde mais ne pas s'attendre à du bon film.,1,উষ্ণতা।এই দেখায় কিন্তু ভাল সিনেমা আশা না।
"L'arnaque aux assurances, William Friedkin s'en fiche et ne la filme même pas, ce qui l'intéresse c'est de montrer une famille américaine en marge et dysfonctionnelle. Et le tableau est gratiné. Appat du gain, rapports troubles, inceste qui rode, adultère, violence des rapports, drogues et alcools dans les parages, télé toujours en marche, Friedklin excerce sa misanthropie sur des personnages inconséquents et sans savoir-vivre, experts en débrouille mais pas en intelligence. Sa critique est féroce mais montre sans juger. Mc Conaughey est impressionnant mais la clé de l'intrigue repose sur la jeune Dottie-Juno Temple, symbole de ce qui peut encore rester de pureté, de candeur au sein de sa famille, enfermée constamment dans sa chambre, que chacun cherche à préserver et qui représente le passeport pour une vie meilleure",0,"বীমা স্ক্যাম, উইলিয়াম ফ্রাইডকিনের যত্ন নেই এবং এটিও চলচ্চিত্রও না, যা তার আগ্রহগুলি মার্জিন এবং অসুবিধায় একটি আমেরিকান পরিবার দেখাতে হয়।এবং পেইন্টিং Au Gratin হয়।যন্ত্রপাতি, ব্যভিচারিত প্রতিবেদনগুলি অর্জন, ব্যভিচারাত্মক, রিপোর্টের সহিংসতা, অঞ্চলে ওষুধ এবং অ্যালকোহলগুলির সহিংসতা, টিভি সর্বদা, ফ্রাইডকলিনের আন্তরিকতা অসঙ্গতিপূর্ণ অক্ষরের উপর এবং কীভাবে জানত না, বিশেষজ্ঞরা কীভাবে বুদ্ধিমান নয়, তা জানে না।তার সমালোচনা ভয়ঙ্কর কিন্তু বিচার ছাড়া শো।এমসি কনরাউই চিত্তাকর্ষক কিন্তু চক্রান্তের চাবিকাঠিটি তরুণ ডটি-জুনো মন্দিরের উপর নির্ভর করে, যা এখনও বিশুদ্ধতা থাকতে পারে, তার পরিবারের মধ্যে ক্যান্ডর, ক্রমাগত তার ঘরে লুকিয়ে রাখতে পারে, যা প্রত্যেকের জন্য পাসপোর্টকে প্রতিনিধিত্ব করে এবং যা পাসপোর্টকে প্রতিনিধিত্ব করে। ভাল জীবন"
"Miss Sloane est un film bien travaillé, laborieux dans sa besogneuse recherche de documentation, mais malheureusement, il souffre d'une espèce de froideur émotionnelle et d'une artificialité bien plus prégnante que ses références implicitement convoquées de par son sujet : Erin Brockovitch et Michael Clayton pour le militantisme personnel et engagé ; House of Cards pour la technocratie cynique et implacable de D.C. Le sujet est certes intéressant mais la mise en scène, assez paresseuse, n'arrive jamais à dépasser le côté simplement bavard d'un film très peu habité. La confrontation avec une autre référence comme The Insider (Révélations) lui est redoutable tant l'œuvre de Michael Mann paraît plus riche et forte dans ses personnages et sa mise en scène gracieuse à souhait.",1,"মিস Sloane একটি ভাল কাজ করা সিনেমা, ডকুমেন্টেশন খুঁজছেন তার প্যাকম্যান মধ্যে কঠোর পরিশ্রমী, কিন্তু দুর্ভাগ্যবশত, তিনি তার প্রজাতির একটি প্রজাতি এবং একটি কৃত্রিমতা থেকে অনেক প্রজাতির তার প্রসঙ্গে তার বিষয় দ্বারা আহ্বান করা হয়: ইরিন Brockovich এবং ব্যক্তিগত জন্য Michael Clayton এবং জড়িত অ্যাক্টিভেশন;D.c.C এর cynical এবং নিরলস texocracy জন্য কার্ড হাউস। বিষয়টি অবশ্যই আকর্ষণীয়, স্টেজিং, বেশ অলসিত, কখনও খুব সামান্য বাসিন্দা চলচ্চিত্রের কেবল কথোপকথন পার্শ্বের বাইরে যেতে পারে না।মাইকেল মান্নের কাজটি তার চরিত্র এবং তাঁর চিত্তাকর্ষক স্টেজে এবং তার চিত্তাকর্ষক স্টেজিংয়ের মধ্যে দৃঢ় এবং শক্তিশালী বলে মনে করেন তার মতো অন্য রেফারেন্সের সাথে সংঘর্ষের সাথে জড়িত।"
"Un film d'une rare beauté visuelle. Ne connaissant pas la véritable histoire, je ne peux me prononcer en termes de crédibilité et de justesse du scénario. Cependant, l'interprétation de Guy Pearce est excellente en Andy Warhol : l'acteur australien s'investit totalement et nous livre ici l'un de ses meilleurs rôles. Sienna Miller est également éblouissante en muse du célèbre artiste pop'art. Magnétique et envoûtante, elle envahit l'esprit du spectateur qui ressort ébahit, troublé, par cette actrice. L'histoire est prenante et met en évidence les aléas de la célébrité. L'ambiance est extrêmement bien rendue et donne à Factiry Girl un rythme soutenu pendant toute sa durée. Enfin, la mise en scène du film est tout simplement splendide : les plans, les photographies font l'objet d'un véritable travail artistique. Un film excellent. On se demande pourquoi il est méconnu en France.",0,"একটি বিরল চাক্ষুষ সৌন্দর্য একটি সিনেমা।আসল গল্পটি জেনে না, আমি দৃশ্যমানতা এবং সংকীর্ণতার পরিপ্রেক্ষিতে উচ্চারণ করতে পারি না।যাইহোক, গাই পিয়ার্সের ব্যাখ্যাটি অ্যান্ডি ওয়ারহোলের চমৎকার: অস্ট্রেলিয়ান অভিনেতা সম্পূর্ণরূপে জড়িত এবং আমাদের এখানে তার সেরা ভূমিকা এক।সিয়েনা মিলার বিখ্যাত পপ'ট শিল্পীর যাদুঘরেও চমকপ্রদ।চৌম্বকীয় এবং হান্টিং, এটি দর্শকের আত্মা আক্রমণ করে, যিনি এই অভিনেত্রী দ্বারা বিরক্ত হয়ে উঠেছিলেন।গল্পটি স্টেকহোল্ডার এবং সেলিব্রিটিদের বিপদগুলি তুলে ধরে।বায়ুমণ্ডল অত্যন্ত ভাল রেন্ডার এবং ফ্যাক্টরি মেয়ে তার সময়কাল জুড়ে একটি অবিচলিত তাল দেয়।অবশেষে, চলচ্চিত্রের স্টেজিং কেবল চমত্কার: পরিকল্পনা, ফটোগ্রাফগুলি প্রকৃত শৈল্পিক কাজের বিষয়।একটি চমৎকার সিনেমা।এক বিস্ময় কেন তিনি ফ্রান্সে অজানা।"
"Cette comédie tendre et drôle, écrite et réalisée par Isabelle Mergault, possède une touche bien féminine ; elle est emplie de douceur, de charme et d'émotions. Le scénario d'Isabelle Mergault nous conte une belle histoire sur d'excellents dialogues, pertinents, drôles et caustiques. Il nous offre de jolies images champêtres et de superbes insertions musicales (""Domino"" d'André Claveau). Ce film nous prodigue aussi bien des scènes burlesques (les repas et jeux de famille) que des séquences d'émotion avec beaucoup d'humanité. Comme à l'accoutumé, Michel Blanc est très bon dans le rôle principal d'Aymé le râleur misogyne. Medeea Marinescu est hyper craquante dans le rôle d'Elena, sa nouvelle femme. Les seconds rôles sont également bien assurés avec Valérie Bonneton (Maître Labaume), Eva Darlan (la directrice de ""Amour Toujours"") et Benoît Turjman sublime dans le rôle délicat d'Antoine, le muet. Le pitch : Aymé Pigrenet, paysan très ""terre à terre"" vient de perdre sa femme. Il va à Bucarest chercher "" l'âme sœur"" qui va l'aider au travail de la ferme.",0,"এই টেন্ডার এবং মজার কমেডি, লিখিত এবং ইসাবেলল মারগল্ট দ্বারা উপলব্ধি, একটি ভাল মহিলা স্পর্শ আছে; এটা মিষ্টিতা, কবজ এবং আবেগ দিয়ে ভরা হয়। Isabelle Mergault এর দৃশ্যটি আমাদের চমৎকার, প্রাসঙ্গিক, মজার এবং কস্টিক ডায়ালগগুলির সম্পর্কে একটি সুন্দর গল্প বলে। এটি আমাদের সুন্দর দেশ চিত্র এবং সুন্দর বাদ্যযন্ত্র সন্নিবেশ (André claveau এর ""ডমিনো"") অফার করে। এই ছবিটি আমাদের উভয় burlesque দৃশ্য (খাবার এবং পরিবার গেম) দেয় যে মানবতার সাথে আবেগ ক্রম। অভ্যস্ত হিসাবে, Michel Blanc Aymé Misogyne Groder প্রধান ভূমিকা খুব ভাল। মেডিয়া মারিনেসু তার নতুন মহিলার ভূমিকায় হাইপার খাস্তা। দ্বিতীয় ভূমিকাটিও ভ্যালেরি বোনেটন (ম îेटे লাব্যুয়েম), ইভা দারলান (""প্রেমের সর্বদা পরিচালক"") এবং বেনোটি টুঞ্জম্যান মহিমান্বিত অ্যান্টোনাইন, নীরব ভূমিকা পালন করে। পিচ: অ্যামে পিগরিনেট, দূরবর্তী কৃষক ""মাটিতে পৃথিবী"" তার স্ত্রীকে হারিয়েছে। তিনি ""আত্মা সঙ্গী"" সন্ধান করার জন্য বুখারেস্টে যান যিনি তাকে খামারের কাজে সাহায্য করবেন।"
"Film quasiment nul. Très bon jeu d'actrice. A moins que vous aimiez passer 20 % de votre temps filmique à attendre pour lire sur grand écran des échanges de sms qui n'arrivent pas, qui arrivent : On fait un jeu ? Non, je n'aime pas les jeux. Etes-vous un homme ou une femme ? Répondez-moi. Répondez. Non. Oui. Je sais pas. Peut-être. Pas important. Et 5 à 10 % à voir Krikri sur son scooter dans les rues de Paris ou prendre des trains. Pffff. On s'ennuie, hélas après avoir pensé qu'on allait être captivé. Car le film ne tient pas ses promesses. On le comprend à mi-course qu'il hésite entre plusieurs styles, plusieurs concepts - pas des centaines non plus - entre plusieurs histoires où aucune n'est vraiment aboutie. C'est déséquilibré, il n'y a pas vraiment de cohérence. Et puis une fille ""comme elle"", ça ne porte pas des culottes comme la sienne. Et à propos de culotte, les plans dénudés face caméra sont gratuits et voyeurs. Et ça, c'est franchement décevant pour ne pas dire bas. La cerise sur le soufflet raplapla : les acteurs masculins sont tous plus lamentables les uns que les autres. C'est à en pleurer. On se croirait à un 1er cours de théâtre. Désolé Messieurs, vous n'êtes pas des acteurs. Ou alors, faudra vraiment beaucoup beaucoup travailler. Mais rien à dire sur Kristen Stewart qui fait bien son job.",1,"ফিল্ম প্রায় শূন্য। খুব ভাল অভিনেত্রী খেলা। যতক্ষণ না আপনি আপনার চলচ্চিত্রের ২0% ব্যয় করতে পছন্দ করেন তবে এসএমএস এক্সচেঞ্জের বড় পর্দায় পড়ার জন্য অপেক্ষা করছে যা আসবে না, আসছে: আমরা একটি খেলা করি? না, আমি গেম পছন্দ করি না। তুমি কি পুরুষ নাকি মহিলা ? জবাব দিন. উত্তর. না। হ্যাঁ. আমি জানিনা. সম্ভবত। গুরুত্বপুর্ন না. এবং প্যারিসের রাস্তায় তার স্কুটারে ক্রিক্রি দেখতে 5 থেকে 10% বা ট্রেন নিতে। Pffff। আমরা উদাস, আমরা মনে করি যে আমরা captivated যাচ্ছে। কারণ ফিল্ম তার প্রতিশ্রুতি রাখা না। আমরা এটি অর্ধেকটি বুঝতে পেরেছি যে তিনি বিভিন্ন শৈলীগুলির মধ্যে দ্বিধা করেন না, বিভিন্ন ধারণার মধ্যে - শত শত নয় - বেশ কয়েকটি গল্পের মধ্যে যেখানে কেউ সত্যিই সফল হয় না। এটা ভারসাম্যহীন, সত্যিই মিলিত হয় না। এবং তারপর একটি মেয়ে ""তার মত"", এটা তার মত শিশুদের প্যানট বহন করে না। এবং শিশুদের প্যানট সম্পর্কে, বেয়ার পরিকল্পনা মুখ ক্যামেরা বিনামূল্যে এবং Voyeur হয়। এবং যে, এটা কম বলতে না সত্যি বলতে। Bellowsaplapla উপর Cherry: পুরুষ অভিনেতা একে অপরের চেয়ে আরো mounsable হয়। এটা কাঁদছে। এক একটি প্রথম থিয়েটার কোর্স মনে হবে। দুঃখিত Gentlemen, আপনি অভিনেতা না। অথবা, সত্যিই কাজ করার জন্য অনেক আছে। কিন্তু ক্রিশ্চেন স্টুয়ার্ট সম্পর্কে বলার কিছুই নেই যা তার কাজ ভাল করে।"
"Qu'y a t'il à sauver dans ce film? Même en étant extrêmement complaisant, pas grand'chose...",1,"আপনি এই সিনেমা কি সংরক্ষণ করতে পারেন?এমনকি অত্যন্ত প্রশান্তি দ্বারা, grand'chose না ..."
"Le début commence bien, une nénette à poil (ouais...) qui se baigne et qui se fait bouloter par un alligator. Bon après, c'est la misère: des jeunes (beaux grands musclés) des meufs (belles pas farouches) des rednecks (dégueux et débiles) et c'est parti mon kiki. Ha oui, j'oubliais le monstre en costume de latex, pis aller, je vous rajoute un peu de consanguinité, et comme je suis généreux, une histoire de secte par dessus, c'est cadeau. Donc, c'est mal joué, mal filmé, et très très léger niveau gore.",1,"শুরুতে ভাল শুরু হয়, একটি নিপ্পলার (হ্যাঁ ...) যা স্নান করা হয় এবং যা একটি মগজ দ্বারা বোল্ডার হয়।আচ্ছা, এটি দুঃখের পরে: বাচ্চাদের (সুন্দর বড় পেশী) রেডিনেকের (সুন্দর পাদদেশ) (ঘৃণ্য এবং দুর্বলতাত্রি) এবং এটি আমার কিকি চলে গেছে।হা হা, আমি লেটেক্স পরিচ্ছদে দৈত্যকে ভুলে গেছি, খারাপ, আমি আপনাকে একটু কমিয়ে আনুনি, এবং আমি উদার, এটি একটি উপহারের ইতিহাস, এটি একটি উপহার।তাই এটি খারাপভাবে খেলেছে, দুর্বলভাবে চিত্রিত, এবং খুব হালকা স্তরের গোর।"
Marilou a encore frappé !! Ce nouveau côté m a beaucoup plus Comment transformer un fait réel en comédie hilarante Voilà un film très divertissant à l image de cette jeune maman qui ne craint pas le ridicule qui le revendique même j ai beaucoup souri et il y a quelques touches d émotions bravo Melle Berry votre maman peut être fière amicalement sylvie,0,"মারিলু আবার আঘাত করেছে !!এই নতুন দিকটি আরো অনেক কিছু হ্যামিলিয়াস কমেডি মধ্যে একটি বাস্তব সত্য রূপান্তর কিভাবে এই তরুণ মায়ের ইমেজ একটি খুব বিনোদনমূলক সিনেমা, যিনি উপহাসকারীদের ভয় পায় না, যারা আমার হাসি অনেক আছে এবং আবেগের কিছু স্পর্শ আছে emotions berry আপনার মায়ের গর্বিত বন্ধুত্বপূর্ণ sylvie হতে পারে"
"Jeu trouble, le probléme c'est que le scénario l'est aussi. Un homme (Aaron Paul, l'une des révélations de la série ""breaking bad"") court après sa fiancée disparue. Soucis celle ci n'est pas forcément celle qu'il croyait... s'ensuivent 1h52 de chasse au trésor à laquelle je n'ai pas adhéré un seul instant tellement tout cela est suréaliste, incohérent et tiré par les cheveux... dommage.... 1.5 / 5",1,"সমস্যা খেলা, সমস্যাটি হল দৃশ্যকল্পটিও।একজন মানুষ (হারুন পৌল, সিরিজের প্রকাশের একটি ""খারাপ ভাঙ্গা"") তার ফিয়ানয়ে অদৃশ্য হয়ে যাওয়ার পর রান করেন।চিন্তিত এই এক অপরিহার্য নয় যা তিনি বিশ্বাস করেছিলেন ... অনুসরণ করুন 1:52 ট্রেজার হান্টিং যা আমি এক মুহুর্তে মেনে চলিনি, এই সবই সর্ববৃহৎ, অসঙ্গতিপূর্ণ এবং চুল দ্বারা টানা হয় ... ক্ষতি ....5 / 5."
"Ce film est une pure garde du corps ridicules qui ont peur de balles en mousse,la femme qui préfere le chien a son mari bref une grosse merde pour les gamins",1,"এই ছবিটি হাস্যকর সংস্থাগুলির কাছ থেকে একটি বিশুদ্ধ রক্ষাকর্তা, যারা মশ বুলেটের ভয়ে ভীত, কুকুরটিকে পছন্দ করে এমন মহিলার তার সংক্ষিপ্ত স্বামী বাচ্চাদের জন্য একটি বড় শিট আছে"
